id,Name,type,net worth (B),state,source,age,organisation,invest,country
dh,DianeHendricks,0,11,Wisconsin,roofing,5,99,99,USA
jf,JudyFaulkner,0,6.5,Wisconsin,health IT,5,99,99,USA
mw,MegWhitman,0,6.3,California,eBay,4,99,99,USA
jl,JudyLove,0,5.2,Oklahoma,retail & gas stations,6,99,99,USA
mi,MarianIlitch,0,4.4,Michigan,Little Caesars,6,99,99,USA
abc,ABCSupply,1,12,Wisconsin,roofing,99,4,99,USA
luw,LuWSupply ,1,1.5,Chicago ,roofing,99,4,99,USA
lov,loves,1,20,Oklahoma,retail & gas stations,99,4,2.500,USA
imm,ImmortalsGamingClub,1,0.21,California,Online Gaming / IT,99,4,30.000.000,USA
taj,TomandJudyLoveFoundation,1,0.8 ,Oaklahoma,"Education, Art, Cultural,...",99,3,99,USA
lcp,LittleCaesarsPizza,1,,Michigan,Restaurantkette,99,4,99,USA
ove,Overwolf,1,,Tel Aviv,IT,99,4,99,ISR
drw,DetroitRedWings,1,,Michigan,Sports,99,4,99,USA
mcc,MotorCityCasino,1,,Michigan,Hotel,99,4,99,USA
